pl_name,hostname,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
11 Com b,11 Com,2,1,0,326.03000000,1.290000,12.100,1.080,6165.60000,19.40000,Msini,19.100000,0.231000,,,,,0,,,,,,,2452899.600000,94.8000,302.800,,,G8 III,4742.00,19.00,2.70,-0.350,[Fe/H],2.243,2.31,,,1.2000,,43.37
11 UMi b,11 UMi,1,1,0,516.21997000,1.530000,12.300,1.090,4684.81420,14.74000,Msini,13.800000,0.080000,,,,,0,,,,,,,2452861.040000,117.6300,189.700,,,K4 III,4213.00,29.79,2.78,-0.020,[Fe/H],2.430,1.93,1.560,,1.5000,,-17.52
14 And b,14 And,1,1,0,185.84000000,0.830000,12.900,1.150,1525.50000,4.80000,Msini,3.900000,0.000000,,,,,0,,,,,,,2452861.400000,0.0000,100.000,,,K0 III,4813.00,11.00,2.20,-0.240,[Fe/H],1.763,2.63,4.500,,2.6000,,-59.73
14 Her b,14 Her,1,2,0,1773.40002000,2.930000,12.900,1.150,1481.08780,4.66000,Msini,3.790000,0.370000,,,,,0,,,,,,,2456834.400000,23.2000,90.000,,,K0 V,5338.00,0.93,0.90,0.410,[Fe/H],-0.153,4.45,3.900,1.27393,1.0000,,-13.82
16 Cyg B b,16 Cyg B,3,1,0,798.50000000,1.660000,13.500,1.200,565.73740,1.78000,Msini,1.260000,0.680000,,,,,0,,,,,,,2456937.320000,82.7400,50.500,,,G3 V,5750.00,1.13,1.08,0.060,[Fe/H],0.097,4.36,7.400,1.01103,2.7000,,-28.10
18 Del b,18 Del,2,1,0,993.30000000,2.600000,12.500,1.110,3273.50000,10.30000,Msini,9.210000,0.080000,,,,,0,,,,,,,2451672.000000,166.1000,119.400,,,G6 III,4979.00,8.50,2.30,-0.052,[Fe/H],1.602,2.82,1.100,,,,4.35
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,,330.000000,18.647,1.664,3000.00000,8.00000,Mass,2.540000,,,1700,,,0,,,,,,,,,,,,K7 V,4060.00,1.31,0.85,,,-0.370,4.00,0.005,0.38789,,,
24 Boo b,24 Boo,1,1,0,30.35060000,0.190000,13.900,1.240,289.22530,0.91000,Msini,0.592000,0.042000,,,,,0,,,,,,,2450008.600000,210.0000,59.900,,,G3 IV,4893.00,10.64,0.99,-0.770,[Fe/H],1.774,2.42,6.920,,3.3600,,-7.77
24 Sex b,24 Sex,1,2,0,452.80000000,1.333000,13.400,1.190,632.46000,1.99000,Msini,1.440000,0.090000,,,,,0,,,,,,,2454762.000000,9.2000,40.000,,,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,2.700,,2.7700,,7.29
24 Sex c,24 Sex,1,2,0,883.00000000,2.080000,13.900,1.240,273.32000,0.86000,Msini,0.559000,0.290000,,,,,0,,,,,,,2454930.000000,220.5000,14.500,,,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,2.700,,2.7700,,7.29
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,0,,84.000000,12.300,1.100,4131.79000,13.00000,Mass,12.200000,,,,,,0,,,,,,,,,,,,M5.5/M6,,,0.19,,,,,0.030,,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,,52.000000,11.209,1.000,7786.50000,24.50000,Mass,30.400000,,,1600,,,0,,,,,,,,,,,,M3.5 V,3530.00,0.37,0.40,,,-1.720,4.86,0.120,10.11868,,,9.60
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,,156.000000,16.141,1.440,4417.83700,13.90000,Mass,5.770000,,,,,,0,,,,,,,,,,,,M6,3064.00,0.28,0.11,,,-2.230,4.59,0.035,17.67076,6.5000,,10.60
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,,15.000000,12.600,1.130,2383.60000,7.50000,Mass,6.550000,,,,,,0,,,,,,,,,,,,M8.5,2936.00,0.23,0.02,,,-2.444,5.01,0.001,22.78110,,,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,,55.000000,12.900,1.150,1589.15000,5.00000,Mass,4.070000,,,1250,,,0,,,,,,,,,,,,M8,2825.00,0.22,0.02,,,-2.561,5.03,0.008,25.27945,,,
