pl_name,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
11 Com b,2,1,0,326.03000000,1.290000,12.100,1.080,6165.60000,19.40000,19.100000,0.231000,,,0,4742.00,19.00,2.70,-0.350,2.243,2.31,,,1.2000,,43.37
11 UMi b,1,1,0,516.21997000,1.530000,12.300,1.090,4684.81420,14.74000,13.800000,0.080000,,,0,4213.00,29.79,2.78,-0.020,2.430,1.93,1.560,,1.5000,,-17.52
14 And b,1,1,0,185.84000000,0.830000,12.900,1.150,1525.50000,4.80000,3.900000,0.000000,,,0,4813.00,11.00,2.20,-0.240,1.763,2.63,4.500,,2.6000,,-59.73
14 Her b,1,2,0,1773.40002000,2.930000,12.900,1.150,1481.08780,4.66000,3.790000,0.370000,,,0,5338.00,0.93,0.90,0.410,-0.153,4.45,3.900,1.27393,1.0000,,-13.82
16 Cyg B b,3,1,0,798.50000000,1.660000,13.500,1.200,565.73740,1.78000,1.260000,0.680000,,,0,5750.00,1.13,1.08,0.060,0.097,4.36,7.400,1.01103,2.7000,,-28.10
18 Del b,2,1,0,993.30000000,2.600000,12.500,1.110,3273.50000,10.30000,9.210000,0.080000,,,0,4979.00,8.50,2.30,-0.052,1.602,2.82,1.100,,,,4.35
1RXS J160929.1-210524 b,1,1,0,,330.000000,18.647,1.664,3000.00000,8.00000,2.540000,,,1700,0,4060.00,1.31,0.85,,-0.370,4.00,0.005,0.38789,,,
24 Boo b,1,1,0,30.35060000,0.190000,13.900,1.240,289.22530,0.91000,0.592000,0.042000,,,0,4893.00,10.64,0.99,-0.770,1.774,2.42,6.920,,3.3600,,-7.77
24 Sex b,1,2,0,452.80000000,1.333000,13.400,1.190,632.46000,1.99000,1.440000,0.090000,,,0,5098.00,4.90,1.54,-0.030,1.164,3.50,2.700,,2.7700,,7.29
24 Sex c,1,2,0,883.00000000,2.080000,13.900,1.240,273.32000,0.86000,0.559000,0.290000,,,0,5098.00,4.90,1.54,-0.030,1.164,3.50,2.700,,2.7700,,7.29
2MASS J01033563-5515561 AB b,2,1,0,,84.000000,12.300,1.100,4131.79000,13.00000,12.200000,,,,0,,,0.19,,,,0.030,,,,
2MASS J01225093-2439505 b,1,1,0,,52.000000,11.209,1.000,7786.50000,24.50000,30.400000,,,1600,0,3530.00,0.37,0.40,,-1.720,4.86,0.120,10.11868,,,9.60
2MASS J02192210-3925225 b,1,1,0,,156.000000,16.141,1.440,4417.83700,13.90000,5.770000,,,,0,3064.00,0.28,0.11,,-2.230,4.59,0.035,17.67076,6.5000,,10.60
2MASS J04414489+2301513 b,1,1,0,,15.000000,12.600,1.130,2383.60000,7.50000,6.550000,,,,0,2936.00,0.23,0.02,,-2.444,5.01,0.001,22.78110,,,
2MASS J12073346-3932539 b,1,1,0,,55.000000,12.900,1.150,1589.15000,5.00000,4.070000,,,1250,0,2825.00,0.22,0.02,,-2.561,5.03,0.008,25.27945,,,
2MASS J19383260+4603591 b,2,1,0,416.00000000,0.920000,13.400,1.200,603.87700,1.90000,1.380000,,,,0,10868.00,0.34,0.48,-0.092,0.168,3.91,,,,,
2MASS J21402931+1625183 A b,1,1,0,7336.50000000,,10.310,0.920,6657.48000,20.95000,33.400000,0.260000,,2075,0,2300.00,0.12,0.08,,-3.480,5.22,,63.55229,,,13.00
2MASS J22362452+4751425 b,1,1,0,,230.000000,12.300,1.100,3972.87500,12.50000,11.700000,,,,0,4045.00,0.64,0.60,,-1.021,4.62,0.120,3.36994,,,-21.50
30 Ari B b,4,1,0,335.10001000,0.990000,12.300,1.100,4392.41060,13.82000,13.000000,0.290000,,,0,6331.00,1.41,1.93,0.190,0.381,4.43,0.910,0.74300,38.3000,,12.89
4 UMa b,1,1,0,269.30000000,0.870000,12.700,1.130,2256.50000,7.10000,6.050000,0.432000,,,0,4415.00,18.11,1.23,-0.250,2.062,1.80,4.604,,,,14.62
42 Dra b,2,1,0,479.10000000,1.190000,13.000,1.160,1233.13000,3.88000,3.080000,0.380000,,,0,4200.00,22.03,0.98,-0.460,2.155,1.71,9.490,,1.0000,,31.79
47 UMa b,1,3,0,1078.00000000,2.100000,13.200,1.180,804.08000,2.53000,1.920000,0.032000,,,0,5872.00,1.21,1.06,0.040,0.198,4.30,6.480,0.83662,2.8000,,11.22
47 UMa c,1,3,0,2391.00000000,3.600000,14.200,1.270,171.62100,0.54000,0.329000,0.098000,,,0,5872.00,1.21,1.06,0.040,0.198,4.30,6.480,0.83662,2.8000,,11.22
47 UMa d,1,3,0,14002.00000000,11.600000,13.500,1.200,521.22000,1.64000,1.160000,0.160000,,,0,5872.00,1.21,1.06,0.040,0.198,4.30,6.480,0.83662,2.8000,,11.22
51 Eri b,3,1,0,11688.00000000,12.000000,13.400,1.190,635.66000,2.00000,1.450000,0.450000,,700,0,7295.00,1.49,1.65,-0.027,0.752,4.31,0.020,0.70712,65.1900,,17.30
51 Peg b,1,1,0,4.23078500,0.052700,14.300,1.270,146.20180,0.46000,0.275000,0.013000,,,0,5758.00,1.18,1.03,0.180,0.136,4.31,10.000,0.89374,2.2000,30.00,-33.25
55 Cnc b,2,5,0,14.65160000,0.113400,13.900,1.240,263.97850,0.83060,0.540000,0.000000,,700,0,5172.00,0.94,0.91,0.350,-0.197,4.43,5.500,1.41851,1.2300,38.80,27.25
55 Cnc c,2,5,0,44.39890000,0.237300,8.510,0.760,54.47380,0.17140,0.486000,0.030000,,,0,5172.00,0.94,0.91,0.350,-0.197,4.43,10.200,1.41851,1.2300,38.80,27.41
55 Cnc d,2,5,0,5574.20000000,5.957000,13.000,1.160,1232.49300,3.87800,3.080000,0.130000,,,0,5172.00,0.94,0.91,0.350,-0.197,4.43,5.500,1.41851,1.2300,38.80,27.25
55 Cnc e,2,5,0,0.73654740,0.015440,1.875,0.167,7.99000,0.02514,6.660000,0.050000,,1958,0,5172.00,0.94,0.91,0.350,-0.197,4.43,10.200,1.41000,1.2300,38.80,27.41
55 Cnc f,2,5,0,259.88000000,0.770800,7.590,0.677,44.81200,0.14100,0.563000,0.080000,,,0,5172.00,0.94,0.91,0.350,-0.197,4.43,10.200,1.41851,1.2300,38.80,27.41
6 Lyn b,1,1,0,934.30000000,2.110000,13.400,1.190,638.83830,2.01000,1.460000,0.073000,,,0,4938.00,5.20,1.44,-0.130,1.176,3.19,2.353,,1.3200,,39.70
61 Vir b,1,3,0,4.21500000,0.050201,2.110,0.188,5.10000,0.01600,2.980000,0.120000,,,0,5577.00,0.96,0.94,-0.010,-0.095,4.34,8.960,1.44933,1.9000,,-8.20
61 Vir c,1,3,0,38.02100000,0.217500,4.460,0.398,18.20000,0.05700,1.130000,0.140000,,,0,5577.00,0.96,0.94,-0.010,-0.095,4.34,8.960,1.44933,1.9000,,-8.20
61 Vir d,1,3,0,123.01000000,0.476000,5.110,0.456,22.90000,0.07200,0.943000,0.350000,,,0,5577.00,0.96,0.94,-0.010,-0.095,4.34,8.960,1.44933,1.9000,,-8.20
